i4,c10,c15,i1,r4
131,adam,smith,24,1.56
132,leia,biliris,48,1.82
133,sebastian,beethoven,18,1.63
134,han,hellerstein,41,1.53
135,angelina,yannakakis,45,1.88
136,jeremy,papadimitriou,24,1.72
137,james,rhoads,13,1.98
138,orestis,gravano,23,1.59
139,alex,hellerstein,46,1.77
140,pam,beethoven,26,1.73
141,john,malkin,11,1.74
142,daniel,becker,29,1.57
143,hila,papadimitriou,13,1.53
144,pam,beethoven,51,1.92
145,barack,hellerstein,28,1.68
146,jeremy,bellovin,57,1.82
147,james,bellovin,17,1.83
148,jeremy,kardashian,47,1.98
149,randy,geambasu,40,1.89
150,anakin,morrison,37,1.99
151,luke,cohen,20,1.54
152,ashish,obama,40,1.76
153,randy,hofstadter,40,1.99
154,aaron,sitaridi,21,1.77
155,leonard,hoare,13,1.68
156,alex,cohen,15,1.90
157,alex,dewitt,41,1.59
158,jim,bush,45,1.82
159,sheldon,polychroniou,43,1.70
160,leonard,bach,52,1.88
161,hila,polychroniou,17,1.96
162,ozzy,osbourne,10,1.68
163,ozzy,katz,55,1.78
164,ling,osbourne,44,1.74
165,jeremy,bellovin,26,1.64
166,ethan,kardashian,57,1.50
167,malcolm,gravano,24,1.53
168,angelica,hoare,38,1.80
169,george,sitaridi,23,1.59
170,barack,polychroniou,11,1.64
171,kim,solo,47,1.96
172,orestis,bach,38,1.70
173,tom,polychroniou,24,1.94
174,luis,ross,21,1.60
175,daniel,dickinson,12,2.00
176,sebastian,morrison,13,1.54
177,ling,malkin,35,1.66
178,leonard,katz,38,1.76
179,alex,gravano,39,1.64
180,george,hellerstein,51,1.81
181,eric,becker,32,1.54
182,angelina,beethoven,40,1.84
183,han,servedio,15,1.82
184,malcolm,skywalker,50,1.58
185,leia,hanks,25,1.64
186,ludwig,yannakakis,34,1.67
187,barack,hetfield,35,1.53
188,bruce,dewitt,42,1.90
189,randy,organa,34,1.54
190,jeremy,organa,19,1.53
191,leonard,organa,40,1.65
192,angus,bach,54,1.69
193,han,geambasu,36,1.58
194,cliff,young,16,2.00
195,ozzy,rhoads,31,1.81
196,steven,dickinson,53,1.53
197,michael,yannakakis,55,1.91
198,daniel,cooper,47,1.79
199,luis,rhoads,32,1.67
200,john,hellerstein,48,1.65
201,luke,welles,50,1.63
202,adam,hoare,14,1.96
203,xi,geambasu,60,2.00
204,david,dickinson,17,1.66
205,eric,rhoads,10,1.52
206,vaggelis,biliris,10,1.62
207,jack,chen,48,1.72
208,leonard,halford,41,1.75
209,orestis,dickinson,17,1.95
210,tom,chen,23,1.61
211,ioannis,stonebraker,20,1.62
212,sebastian,keromutis,55,1.68
213,martha,young,42,1.70
214,kanna,hetfield,32,1.82
215,leia,skywalker,58,1.59
216,steven,hofstadter,60,1.53
217,dimitris,papadimitriou,30,1.56
218,han,young,12,1.57
219,jim,solo,22,1.63
220,steven,bach,39,1.82
221,jack,beethoven,59,1.60
222,alex,stonebraker,52,1.70
223,kanna,organa,45,1.63
224,joseph,polychroniou,18,1.58
225,alex,organa,35,1.52
226,dhaval,sitaridi,14,1.52
227,angus,beethoven,35,1.67
228,ashish,welles,54,1.53
229,tom,obama,16,1.92
230,john,hoare,60,1.98
231,dimitris,geambasu,36,1.58
232,malcolm,yannakakis,24,1.84
233,spock,cohen,17,1.89
234,jack,hofstadter,34,1.61
235,kenneth,dewitt,33,1.73
236,cliff,bach,59,1.66
237,alex,dewitt,28,1.54
238,daniel,katz,15,1.92
239,tal,yannakakis,48,1.81
240,ludwig,obama,27,1.51
241,malcolm,kardashian,29,1.74
242,james,polychroniou,18,1.67
243,sheldon,hanks,48,1.82
244,anakin,polychroniou,39,1.60
245,ling,rhoads,30,1.71
246,angelina,spielberg,11,1.75
247,ioannis,obama,36,1.89
248,james,yannakakis,27,1.93
249,dimitris,kardashian,17,1.60
250,jeremy,chen,48,1.65
251,leonard,young,15,2.00
252,sheldon,polychroniou,57,1.58
253,bruce,geambasu,25,1.91
254,vaggelis,cooper,12,1.67
255,kanna,papadimitriou,23,1.78
256,adam,chen,57,1.54
257,luis,gravano,23,1.53
258,joseph,beethoven,41,1.50
259,martha,servedio,16,1.60
260,barack,bach,19,1.52
261,alex,biliris,49,1.99
262,jack,sitaridi,37,1.91
263,rocco,gravano,23,1.90
264,tom,biliris,10,1.84
265,kanna,welles,57,1.88
266,david,young,27,1.51
267,leonard,bach,31,1.73
268,joe,kardashian,36,1.80
269,rocco,cooper,33,1.89
270,pam,cohen,47,2.00
271,angus,halford,46,1.74
272,dimitris,geambasu,48,1.86
273,ashish,hoare,58,1.58
274,daniel,chen,57,1.89
275,george,hofstadter,34,1.67
276,luis,beethoven,37,1.50
277,leonard,polychroniou,27,1.75
278,jim,papadimitriou,24,1.54
279,orestis,gravano,28,1.74
280,hila,welles,12,1.56
281,ioannis,hofstadter,51,1.74
282,jeremy,polychroniou,54,1.61
283,david,morrison,19,1.67
284,ashish,halford,59,1.87
285,ozzy,dewitt,57,1.66
286,eric,rhoads,57,1.86
287,james,ross,15,1.65
288,ling,geambasu,59,1.58
289,ioannis,papadimitriou,16,1.63
290,hila,papadimitriou,53,2.00
291,vaggelis,chen,10,1.52
292,sebastian,welles,22,1.74
293,tal,solo,42,1.59
294,david,hoare,39,1.53
295,daniel,halford,31,1.59
296,aaron,organa,56,1.70
297,jeff,ross,52,1.77
298,hila,bach,43,1.58
299,steven,cooper,35,1.57
300,kim,becker,30,1.61
301,angus,malkin,12,1.77
302,luke,dickinson,53,1.56
303,anakin,servedio,19,1.88
304,ashish,cooper,13,1.79
305,dhaval,paparas,31,1.69
306,barack,becker,58,1.53
307,james,keromutis,45,1.97
308,michael,yannakakis,20,1.79
309,kanna,hetfield,52,1.63
310,david,becker,16,1.58
311,leonard,geambasu,50,1.90
312,dhaval,sitaridi,27,1.67
313,dhaval,bush,14,1.62
314,jim,becker,10,1.77
315,kim,malkin,50,1.85
316,jack,cooper,18,1.50
317,pam,cooper,39,2.00
318,angus,keromutis,24,1.85
319,luis,hetfield,14,1.78
320,xi,beethoven,51,1.96
321,ludwig,paparas,54,1.70
322,vaggelis,young,30,1.95
323,joe,papadimitriou,34,1.59
324,kanna,keromutis,21,1.82
325,cliff,biliris,36,1.64
326,sebastian,dewitt,49,1.90
327,jeremy,smith,24,1.68
328,aaron,biliris,51,1.80
329,tom,hoare,25,1.85
330,rocco,ross,22,1.59
331,kim,dewitt,59,1.86
332,angus,servedio,33,1.84
333,ethan,rhoads,43,1.99
334,eric,hellerstein,27,1.72
335,ioannis,gravano,50,1.81
336,anakin,morrison,56,1.81
337,jim,bush,12,1.86
338,cliff,young,33,1.90
339,ling,kardashian,50,1.96
340,vaggelis,organa,48,1.87
341,kenneth,ross,30,1.96
342,orestis,cooper,36,1.87
343,tom,young,41,1.65
344,luke,kardashian,19,1.51
345,daniel,geambasu,36,1.87
346,ludwig,stonebraker,28,1.74
347,kenneth,keromutis,51,1.82
348,sebastian,ross,32,1.53
349,tal,sitaridi,59,1.92
350,barack,morrison,55,1.74
351,barack,osbourne,56,1.75
352,leonard,ross,27,1.79
353,pam,smith,27,1.94
354,barack,smith,25,1.85
355,orestis,skywalker,42,1.55
356,barack,hetfield,44,1.54
357,kenneth,stonebraker,30,1.56
358,angus,becker,26,1.64
359,eric,kardashian,36,1.86
360,ethan,gravano,36,1.93
361,bruce,bush,54,1.93
362,anakin,sitaridi,47,1.58
363,sheldon,organa,34,1.93
364,alex,smith,12,1.82
365,jeff,dickinson,23,1.72
366,cliff,hetfield,45,1.79
367,barack,gravano,23,1.60
368,angelina,geambasu,16,1.89
369,rocco,bach,49,1.50
370,barack,servedio,32,1.75
371,john,bellovin,53,1.96
372,george,cohen,39,1.69
373,ling,obama,17,1.92
374,kanna,dewitt,35,1.93
375,adam,papadimitriou,46,1.89
376,ozzy,chen,52,1.67
377,sheldon,bach,23,1.80
378,john,dewitt,56,1.86
379,ozzy,sitaridi,43,1.62
380,dimitris,solo,58,1.61
381,orestis,yannakakis,57,1.55
382,leia,hoare,14,1.71
383,jeremy,dickinson,38,1.65
384,jim,cooper,54,1.94
385,joe,biliris,57,1.56
386,hila,polychroniou,56,1.92
387,luke,keromutis,14,1.53
388,eric,hofstadter,13,1.52
389,randy,malkin,22,2.00
390,ozzy,rhoads,11,1.67
391,adam,gravano,50,1.79
392,jim,bach,20,1.83
393,george,hanks,55,1.56
394,michael,yannakakis,36,1.65
395,anakin,ross,18,1.80
396,tal,dickinson,57,1.86
397,ethan,dickinson,51,1.59
398,daniel,papadimitriou,42,1.93
399,barack,beethoven,54,1.71
400,kenneth,katz,46,1.53
401,bruce,beethoven,30,1.55
402,ioannis,yannakakis,41,1.96
403,luis,keromutis,53,1.89
404,joseph,keromutis,54,1.64
405,bruce,ross,20,1.59
406,ashish,kardashian,13,1.93
407,adam,hellerstein,22,1.71
408,luke,halford,42,1.73
409,martha,bush,48,1.51
410,ioannis,spielberg,18,1.68
411,xi,keromutis,11,1.75
412,ling,halford,20,1.70
413,alex,ross,17,1.70
414,david,bush,59,1.85
415,luke,skywalker,26,1.61
416,james,becker,46,1.98
417,simha,cohen,17,1.98
418,ioannis,beethoven,24,1.65
419,joe,hellerstein,33,1.91
420,luke,stonebraker,23,1.83
421,orestis,young,51,1.71
422,ludwig,biliris,49,1.89
423,ludwig,paparas,24,1.54
424,anakin,gravano,53,1.74
425,xi,hellerstein,27,2.00
426,ozzy,hofstadter,39,1.55
427,david,gravano,16,1.76
428,jeremy,bellovin,26,1.69
429,pam,geambasu,59,1.56
430,ling,dewitt,15,1.87
431,pam,young,11,1.94
432,barack,cohen,23,1.94
433,martha,paparas,58,1.54
434,ozzy,bush,45,1.76
435,angelica,servedio,43,1.65
436,vaggelis,bach,54,2.00
437,randy,smith,28,1.92
438,hila,spielberg,29,1.98
439,david,dickinson,16,1.95
440,angelica,gravano,56,1.69
441,joe,hoare,22,1.93
442,orestis,skywalker,20,1.71
443,angelina,cohen,13,1.93
444,dimitris,keromutis,54,1.98
445,orestis,osbourne,56,1.62
446,anakin,hoare,17,1.89
447,xi,hoare,18,1.64
448,luis,cohen,10,1.54
449,sheldon,morrison,46,1.62
450,tom,osbourne,44,1.96
451,joseph,papadimitriou,50,1.88
452,tom,smith,35,1.83
453,xi,bush,22,1.70
454,jim,hofstadter,38,1.95
455,han,young,47,1.87
456,jack,chen,54,1.62
457,eric,bellovin,10,1.79
458,martha,hoare,36,1.58
459,martha,yannakakis,50,1.65
460,david,hanks,36,1.64
461,steven,cooper,55,1.88
462,james,chen,18,1.73
463,luke,cohen,13,1.69
464,randy,katz,18,1.97
465,james,young,21,1.58
466,dhaval,rhoads,19,1.62
467,david,beethoven,51,1.99
468,joseph,hellerstein,26,1.66
469,kanna,katz,21,1.60
470,jim,servedio,33,1.69
471,jeremy,beethoven,49,1.50
472,martha,osbourne,33,1.98
473,kenneth,hetfield,30,1.59
474,kanna,bush,18,1.54
475,leia,obama,31,1.73
476,jim,obama,44,1.61
477,jim,organa,35,1.69
478,david,beethoven,55,1.73
479,angelina,biliris,29,1.84
480,daniel,polychroniou,51,1.67
481,jeremy,organa,42,1.86
482,martha,keromutis,26,1.64
483,xi,becker,14,1.61
484,joe,hellerstein,50,1.62
485,alex,cooper,57,1.65
486,sebastian,hofstadter,30,1.65
487,jack,osbourne,14,1.63
488,luke,geambasu,49,1.95
489,jim,hofstadter,59,1.95
490,angelina,hetfield,20,1.90
491,randy,hoare,53,1.64
492,ashish,hellerstein,50,1.82
493,sheldon,rhoads,11,1.86
494,vaggelis,beethoven,53,1.96
495,pam,spielberg,11,1.97
496,simha,young,26,1.64
497,ling,paparas,23,1.90
498,jim,bach,19,1.98
499,spock,organa,10,1.51
500,ethan,biliris,30,1.90
501,jack,hetfield,47,1.96
502,malcolm,malkin,33,1.79
503,ludwig,stonebraker,20,1.99
504,sebastian,kardashian,18,1.51
505,kenneth,bach,47,1.97
506,bruce,paparas,32,1.70
507,luke,morrison,27,1.98
508,simha,yannakakis,17,1.61
509,ling,obama,20,1.68
510,simha,smith,30,1.57
511,joseph,kardashian,44,1.54
512,malcolm,kardashian,23,1.66
513,aaron,ross,23,1.74
514,ashish,rhoads,46,1.86
515,ludwig,polychroniou,53,1.78
516,angus,papadimitriou,39,1.75
517,pam,stonebraker,26,1.63
518,jeremy,yannakakis,17,1.86
519,kim,halford,27,1.91
520,eric,polychroniou,25,1.54
521,leia,keromutis,60,1.78
522,sebastian,malkin,19,1.60
523,kim,spielberg,23,1.77
524,jeff,spielberg,56,1.66
525,michael,welles,15,1.87
526,bruce,solo,33,1.63
527,ozzy,hanks,16,1.91
528,vaggelis,katz,38,1.96
529,xi,organa,53,1.51
530,barack,paparas,14,1.51
531,angelina,bush,34,1.92
532,eric,chen,31,1.94
533,pam,hoare,45,1.50
534,luke,malkin,22,1.58
535,ioannis,dewitt,60,1.68
536,cliff,stonebraker,48,1.77
537,kim,bach,56,1.80
538,ludwig,skywalker,22,2.00
539,angelica,obama,22,1.60
540,kenneth,hofstadter,45,1.83
541,jim,rhoads,19,1.94
542,eric,yannakakis,21,1.71
543,simha,solo,50,1.85
544,sheldon,chen,47,1.77
545,steven,kardashian,39,1.82
546,ethan,spielberg,31,1.65
547,ashish,welles,56,1.83
548,orestis,katz,21,1.54
549,barack,bellovin,28,1.70
550,ioannis,biliris,31,1.53
551,george,kardashian,16,1.85
552,luke,organa,23,1.67
553,aaron,hetfield,41,1.67
554,simha,biliris,12,1.76
555,angelica,keromutis,20,1.72
556,ludwig,dewitt,30,1.71
557,daniel,bellovin,30,1.62
558,eric,cohen,19,1.92
559,ethan,hetfield,36,1.90
560,luis,rhoads,40,1.90
561,spock,halford,20,1.60
562,luke,paparas,29,1.87
563,angus,gravano,27,1.79
564,orestis,chen,16,1.62
565,luke,becker,29,1.50
566,bruce,bellovin,25,1.52
567,george,chen,39,1.91
568,john,geambasu,38,1.59
569,martha,stonebraker,58,1.62
570,randy,gravano,59,1.91
571,leonard,biliris,51,1.91
572,luke,dickinson,17,1.71
573,randy,smith,22,1.50
574,joe,bellovin,40,1.77
575,barack,katz,50,1.83
576,eric,hofstadter,16,1.67
577,randy,hoare,24,1.78
578,aaron,beethoven,20,1.88
579,barack,hellerstein,15,1.75
580,jim,bush,38,1.87
581,jim,dewitt,14,1.91
582,simha,stonebraker,15,1.58
583,steven,morrison,41,1.69
584,dhaval,becker,52,1.61
585,ling,becker,54,1.55
586,steven,spielberg,27,1.53
587,joseph,hofstadter,33,1.72
588,george,bellovin,25,1.51
589,jim,katz,15,1.94
590,john,katz,27,1.85
591,hila,servedio,59,1.72
592,george,young,14,1.90
593,spock,keromutis,60,1.98
594,xi,biliris,15,1.91
595,ludwig,katz,37,1.53
596,malcolm,hanks,47,1.67
597,jim,keromutis,37,1.92
598,cliff,morrison,13,1.94
599,daniel,halford,54,1.76
600,malcolm,smith,26,1.99
601,angelina,stonebraker,55,1.91
602,xi,katz,34,1.50
603,vaggelis,rhoads,21,1.76
604,ling,hanks,36,1.99
605,rocco,polychroniou,23,1.77
606,spock,smith,55,1.91
607,michael,hellerstein,43,1.62
608,simha,beethoven,49,1.99
609,spock,obama,10,1.83
610,sebastian,sitaridi,22,2.00
611,tom,kardashian,51,1.73
612,sebastian,beethoven,53,1.66
613,pam,bach,10,1.56
614,sebastian,young,59,1.69
615,luke,becker,27,1.55
616,michael,hetfield,31,1.55
617,jeff,geambasu,46,1.71
618,alex,dickinson,40,1.98
619,david,hellerstein,19,1.70
620,simha,biliris,10,1.52
621,ethan,chen,27,1.75
622,sheldon,bach,25,1.90
623,leonard,cohen,51,1.57
624,james,hanks,25,1.61
625,ashish,bellovin,29,1.76
626,martha,biliris,29,1.99
627,malcolm,sitaridi,18,1.79
628,john,stonebraker,42,1.58
629,ozzy,gravano,25,1.73
630,anakin,katz,10,1.81
631,sebastian,obama,41,1.65
632,pam,spielberg,33,1.70
633,randy,cohen,43,1.92
634,leia,bach,46,1.76
635,steven,biliris,20,1.94
636,george,ross,56,1.66
637,steven,osbourne,20,1.61
638,ashish,welles,19,1.86
639,jeremy,papadimitriou,36,1.90
640,michael,obama,18,1.73
641,luke,bach,33,1.65
642,jim,smith,19,1.58
643,eric,organa,12,1.94
644,bruce,halford,47,1.99
645,simha,rhoads,60,1.71
646,adam,dickinson,37,1.83
647,anakin,spielberg,43,1.52
648,luke,paparas,46,1.65
649,jim,servedio,52,1.83
650,dhaval,paparas,23,1.50
651,sheldon,hoare,29,1.66
652,cliff,dewitt,35,1.55
653,angus,bellovin,57,1.99
654,michael,spielberg,49,1.73
655,simha,stonebraker,18,1.71
656,ludwig,papadimitriou,24,1.68
657,george,katz,19,1.80
658,angelica,katz,42,1.97
659,malcolm,organa,58,1.51
660,kim,keromutis,58,1.97
661,ling,geambasu,50,1.68
662,pam,hetfield,13,1.78
663,spock,chen,50,1.87
664,tal,spielberg,34,1.78
665,xi,sitaridi,55,1.57
666,jack,cohen,17,1.50
667,ozzy,polychroniou,25,1.55
668,ioannis,hellerstein,49,1.88
669,eric,stonebraker,57,1.78
670,kanna,cohen,21,1.50
671,jim,skywalker,22,1.75
672,ling,dickinson,28,1.60
673,ludwig,rhoads,31,1.87
674,orestis,biliris,45,1.78
675,dhaval,hanks,30,2.00
676,kenneth,hellerstein,14,1.84
677,jim,dewitt,48,1.51
678,cliff,bach,55,1.99
679,martha,stonebraker,35,1.82
680,john,rhoads,46,1.68
681,jeremy,gravano,13,1.56
682,leonard,gravano,14,1.62
683,joe,gravano,34,1.99
684,ludwig,dewitt,50,1.52
685,alex,osbourne,18,1.77
686,xi,gravano,49,1.53
687,pam,obama,33,1.64
688,eric,dickinson,18,1.58
689,martha,hoare,36,1.86
690,eric,dickinson,21,1.80
691,pam,biliris,16,1.59
692,ludwig,young,12,1.70
693,simha,dewitt,53,1.60
694,ioannis,skywalker,52,1.55
695,aaron,kardashian,32,1.64
696,jim,hetfield,45,1.80
697,leia,solo,41,1.60
698,simha,kardashian,31,1.92
699,george,cohen,35,1.77
700,simha,stonebraker,36,1.51
701,jack,halford,22,1.68
702,luke,keromutis,56,1.54
703,jeff,cohen,52,1.67
704,anakin,young,59,1.76
705,randy,bush,60,1.79
706,adam,bush,49,1.70
707,eric,papadimitriou,18,1.64
708,vaggelis,organa,46,1.58
709,dhaval,polychroniou,10,1.72
710,kanna,halford,51,1.70
711,ling,geambasu,17,1.82
712,ludwig,spielberg,54,1.80
713,pam,hoare,24,1.93
714,jim,young,60,1.78
715,ashish,servedio,12,1.82
716,bruce,welles,17,1.88
717,hila,welles,50,1.82
718,ethan,sitaridi,38,1.81
719,angus,becker,54,1.59
720,ioannis,bellovin,45,1.87
721,pam,biliris,10,1.74
722,angus,katz,35,1.74
723,tom,morrison,32,1.77
724,cliff,halford,20,1.53
725,jim,hetfield,17,1.50
726,jeremy,biliris,32,1.59
727,daniel,cohen,45,1.66
728,dhaval,servedio,38,1.95
729,sebastian,hellerstein,32,1.52
730,alex,servedio,45,1.97
731,angus,osbourne,11,1.81
732,angelina,spielberg,44,1.87
733,jim,katz,14,1.65
734,xi,rhoads,42,1.50
735,david,becker,57,1.67
736,jim,chen,34,1.74
737,pam,spielberg,56,1.96
738,vaggelis,osbourne,44,1.54
739,dimitris,young,10,1.59
740,aaron,hanks,22,1.58
741,sebastian,obama,32,1.91
742,cliff,stonebraker,23,1.54
743,kenneth,keromutis,35,1.59
744,tal,solo,43,1.73
745,jeremy,osbourne,45,1.52
746,tom,hoare,32,1.93
747,daniel,hellerstein,44,1.97
748,alex,polychroniou,13,1.70
749,jack,geambasu,35,1.50
750,eric,welles,42,1.62
751,sheldon,hellerstein,14,1.81
752,kanna,young,44,1.61
753,randy,hellerstein,39,1.68
754,jim,yannakakis,43,1.50
755,dhaval,papadimitriou,18,1.66
756,xi,solo,38,1.61
757,spock,dickinson,31,1.77
758,adam,sitaridi,48,1.77
759,ling,hetfield,45,1.92
760,jim,rhoads,42,1.93
761,bruce,obama,17,1.60
762,jim,skywalker,16,1.91
763,martha,hellerstein,14,1.64
764,sebastian,bellovin,46,1.56
765,daniel,katz,10,1.81
766,jack,cooper,12,1.88
767,han,hellerstein,11,1.61
768,dhaval,polychroniou,56,1.57
769,adam,bellovin,19,1.77
770,ashish,gravano,15,1.91
771,kanna,osbourne,24,1.85
772,aaron,young,50,1.74
773,jim,dewitt,53,1.90
774,jeremy,katz,13,1.70
775,joseph,sitaridi,46,1.79
776,leia,solo,59,1.81
777,randy,paparas,39,1.58
778,leia,solo,57,1.58
779,ashish,malkin,16,1.85
780,kim,kardashian,15,1.70
781,xi,hellerstein,36,1.98
782,hila,bellovin,50,1.53
783,martha,hofstadter,17,1.75
784,cliff,servedio,31,1.81
785,jack,obama,45,2.00
786,orestis,bellovin,48,1.81
787,orestis,organa,42,1.68
788,steven,biliris,47,1.61
789,angus,solo,41,1.88
790,george,skywalker,58,1.70
791,ozzy,ross,26,1.80
792,alex,geambasu,19,1.88
793,tom,cohen,44,1.95
794,orestis,geambasu,54,1.71
795,angelina,kardashian,49,2.00
796,han,papadimitriou,58,1.75
797,barack,keromutis,54,1.52
798,simha,geambasu,35,1.66
799,jim,osbourne,24,1.92
800,john,stonebraker,12,1.73
801,jeremy,spielberg,44,1.60
802,ethan,bach,17,1.51
803,michael,polychroniou,56,1.70
804,george,bush,13,1.67
805,vaggelis,geambasu,18,1.98
806,aaron,stonebraker,41,1.57
807,ioannis,bush,47,1.69
808,michael,hanks,26,1.63
809,orestis,dewitt,35,1.74
810,ioannis,gravano,58,1.56
811,sheldon,skywalker,19,1.67
812,kim,polychroniou,35,1.62
813,ling,becker,27,1.83
814,steven,yannakakis,38,1.98
815,anakin,kardashian,50,1.89
816,joseph,sitaridi,49,1.55
817,angelica,biliris,37,1.63
818,jim,yannakakis,10,1.99
819,tal,katz,49,1.59
820,jim,biliris,35,1.63
821,michael,chen,10,1.92
822,kim,cohen,59,1.52
823,ashish,bellovin,44,1.88
824,ozzy,yannakakis,26,1.73
825,ludwig,osbourne,32,1.67
826,leonard,geambasu,58,1.73
827,ling,cooper,36,1.60
828,ling,geambasu,42,1.50
829,xi,bush,14,1.82
830,angus,hellerstein,41,1.77
831,jack,solo,52,1.89
832,luke,chen,37,1.82
833,kanna,katz,35,1.73
834,vaggelis,geambasu,51,1.97
835,david,polychroniou,14,1.66
836,vaggelis,biliris,33,1.60
837,leonard,papadimitriou,18,1.51
838,rocco,keromutis,60,1.89
839,rocco,hanks,59,1.65
840,spock,kardashian,18,2.00
841,malcolm,kardashian,41,1.83
842,randy,ross,55,1.96
843,jim,cooper,24,1.73
844,ozzy,cohen,41,1.87
845,angelina,stonebraker,60,1.89
846,jim,cohen,42,1.74
847,eric,servedio,25,1.54
848,luis,becker,39,1.73
849,leonard,malkin,27,1.60
850,aaron,gravano,54,1.86
851,eric,obama,27,1.82
852,ling,sitaridi,51,1.73
853,michael,malkin,31,1.90
854,anakin,dewitt,51,1.78
855,eric,gravano,47,1.55
856,aaron,katz,19,1.65
857,jeremy,gravano,50,1.50
858,orestis,sitaridi,57,1.57
859,dhaval,solo,44,1.88
860,joseph,becker,23,1.99
861,hila,dickinson,44,1.59
862,alex,hellerstein,11,1.74
863,ioannis,hoare,37,1.62
864,tom,bush,47,1.60
865,george,beethoven,41,1.76
866,hila,spielberg,48,1.77
867,jeff,halford,14,1.96
868,dimitris,stonebraker,30,1.67
869,aaron,servedio,40,1.53
870,michael,keromutis,14,1.81
871,spock,beethoven,44,1.81
872,dimitris,young,30,1.70
873,joe,morrison,57,1.50
874,pam,hanks,60,1.58
875,george,hoare,48,1.53
