i4,c10,c15,i1,r4
127,jeremy,osbourne,39,1.91
128,sheldon,bush,15,1.94
129,barack,katz,46,1.53
130,joseph,papadimitriou,34,1.88
131,luke,dickinson,27,1.95
132,leonard,bush,60,1.74
133,aaron,becker,44,1.76
134,han,becker,11,1.80
135,joe,osbourne,18,1.80
136,jim,hoare,38,1.88
137,martha,bach,10,1.63
138,han,rhoads,47,1.99
139,ioannis,solo,36,1.79
140,barack,hofstadter,37,1.75
141,anakin,polychroniou,52,1.85
142,simha,welles,11,1.93
143,aaron,cooper,18,1.84
144,daniel,polychroniou,22,1.86
145,cliff,becker,57,1.63
146,ozzy,dewitt,34,1.57
147,tom,solo,43,2.00
148,aaron,welles,34,1.84
149,dimitris,geambasu,16,1.65
150,john,kardashian,27,1.57
151,jeff,halford,58,1.75
152,jim,ross,32,1.60
153,randy,organa,42,1.93
154,leia,organa,21,1.80
155,martha,bellovin,32,1.94
156,ozzy,spielberg,35,1.96
157,barack,dickinson,38,1.81
158,jack,solo,30,1.95
159,ioannis,bach,23,1.93
160,tom,young,48,1.85
161,angelica,obama,41,1.69
162,ioannis,skywalker,20,1.93
163,angelina,sitaridi,40,1.82
164,kim,welles,17,1.54
165,leonard,hoare,39,1.59
166,tal,papadimitriou,10,1.73
167,pam,bellovin,35,1.88
168,randy,dickinson,24,1.87
169,daniel,young,60,1.70
170,vaggelis,hofstadter,15,1.84
171,barack,servedio,19,1.59
172,simha,cooper,38,1.91
173,james,halford,54,1.56
174,randy,halford,60,1.68
175,michael,papadimitriou,20,2.00
176,daniel,young,11,1.99
177,angelica,chen,29,1.76
178,john,obama,37,1.99
179,kanna,young,51,1.86
180,ozzy,paparas,52,1.68
181,jeff,sitaridi,39,1.86
182,tom,chen,58,1.52
183,michael,keromutis,47,1.82
184,angelina,polychroniou,38,1.89
185,xi,obama,13,1.97
186,angus,young,31,1.54
187,dhaval,bach,32,1.61
188,angelica,dickinson,25,1.88
189,randy,bach,17,1.94
190,xi,keromutis,45,1.79
191,ashish,bach,19,1.97
192,dimitris,stonebraker,24,1.87
193,vaggelis,sitaridi,29,1.92
194,ozzy,keromutis,38,1.91
195,jeff,hanks,34,2.00
196,jeremy,hetfield,19,1.89
197,rocco,papadimitriou,20,1.66
198,xi,geambasu,33,1.69
199,angelica,smith,57,1.82
200,barack,becker,31,1.60
201,leia,chen,36,1.91
202,angelica,beethoven,16,1.53
203,rocco,young,22,1.54
204,ashish,katz,31,1.71
205,pam,hoare,34,1.81
206,martha,servedio,47,1.98
207,luis,dickinson,24,1.83
208,ling,welles,30,1.85
209,aaron,beethoven,26,1.96
210,daniel,biliris,47,1.97
211,luke,organa,47,1.99
212,simha,gravano,50,1.82
213,joseph,cooper,46,1.63
214,kim,bush,11,1.72
215,alex,geambasu,45,1.65
216,george,chen,25,1.54
217,kanna,welles,40,1.55
218,angelica,katz,31,1.91
219,ethan,becker,53,1.82
220,dhaval,keromutis,21,1.82
221,john,paparas,22,1.71
222,xi,paparas,53,1.64
223,dhaval,bach,54,1.51
224,leia,becker,13,1.84
225,jim,ross,11,1.83
226,rocco,rhoads,25,1.72
227,kenneth,chen,51,1.58
228,jeff,biliris,52,1.76
229,simha,ross,23,1.79
230,vaggelis,hellerstein,21,1.80
231,malcolm,cooper,60,1.55
232,daniel,cohen,52,1.52
233,ludwig,hoare,25,1.93
234,luke,welles,51,1.81
235,xi,organa,44,1.81
236,alex,stonebraker,46,1.50
237,daniel,morrison,28,1.73
238,dhaval,spielberg,51,1.79
239,kanna,cooper,55,1.64
240,george,gravano,32,1.86
241,aaron,halford,15,1.87
242,bruce,gravano,45,1.96
243,sheldon,katz,17,1.94
244,angus,cooper,46,1.67
245,leia,morrison,52,1.78
246,martha,keromutis,60,1.56
247,george,becker,45,1.94
248,jeff,hellerstein,46,1.81
249,anakin,chen,60,1.65
250,ozzy,smith,50,1.58
251,pam,hetfield,54,1.71
252,jim,paparas,50,1.53
253,martha,keromutis,26,1.55
254,daniel,keromutis,35,1.65
255,angelina,hanks,27,1.85
256,tom,chen,55,1.77
257,john,cohen,53,1.68
258,ethan,malkin,49,1.82
259,jim,organa,30,1.56
260,jim,papadimitriou,24,1.60
261,orestis,young,60,1.80
262,ling,welles,17,2.00
263,luis,polychroniou,51,2.00
264,jim,kardashian,41,1.85
265,pam,paparas,55,1.98
266,hila,dickinson,39,1.57
267,daniel,welles,28,2.00
268,ethan,osbourne,20,1.82
269,jack,cooper,60,1.85
270,adam,geambasu,44,1.56
271,rocco,dewitt,49,1.74
272,john,halford,59,1.69
273,sheldon,hellerstein,47,1.94
274,tal,cohen,59,1.90
275,ashish,servedio,45,1.91
276,ioannis,becker,56,1.70
277,ozzy,sitaridi,49,1.69
278,dimitris,geambasu,38,1.98
279,martha,hanks,21,1.66
280,simha,papadimitriou,22,1.84
281,david,cohen,30,1.99
282,vaggelis,halford,25,1.93
283,cliff,solo,59,1.74
284,angelina,papadimitriou,23,1.68
285,jim,sitaridi,18,1.77
286,steven,papadimitriou,51,1.60
287,ozzy,dickinson,57,1.76
288,randy,cohen,47,1.59
289,alex,dewitt,22,1.56
290,luke,gravano,31,1.51
291,dhaval,organa,47,1.69
292,steven,sitaridi,25,1.50
293,eric,polychroniou,43,1.98
294,kanna,paparas,53,1.99
295,jeff,smith,30,1.90
296,leia,dewitt,55,1.81
297,jim,servedio,34,1.81
298,sebastian,hoare,53,1.95
299,michael,malkin,35,1.79
300,kenneth,smith,56,1.90
301,tal,smith,38,1.52
302,luis,cohen,38,1.96
303,dimitris,chen,42,1.72
304,jack,gravano,45,1.50
305,orestis,rhoads,34,1.58
306,adam,obama,30,1.66
307,luis,biliris,47,1.95
308,simha,organa,12,1.56
309,angus,sitaridi,50,1.80
310,simha,dewitt,42,1.67
311,ling,rhoads,50,1.89
312,eric,bush,14,2.00
313,anakin,welles,42,1.78
314,jeff,organa,58,1.51
315,ludwig,chen,21,1.59
316,joseph,rhoads,35,1.63
317,dhaval,hoare,17,1.64
318,jim,stonebraker,36,1.63
319,david,bush,18,1.90
320,angus,obama,18,1.87
321,joseph,hoare,40,1.65
322,george,cohen,58,1.51
323,joe,sitaridi,51,1.83
324,sebastian,cooper,59,1.90
325,ashish,smith,15,1.80
326,angus,organa,36,1.55
327,angelica,polychroniou,18,1.59
328,ludwig,osbourne,39,1.92
329,simha,rhoads,28,1.83
330,joe,organa,18,1.65
331,xi,malkin,54,1.73
332,barack,katz,17,1.93
333,tom,skywalker,34,1.87
334,hila,geambasu,18,1.74
335,simha,chen,30,1.66
336,angus,gravano,48,1.74
337,ling,hellerstein,45,1.56
338,leonard,welles,44,1.93
339,barack,polychroniou,21,1.77
340,hila,malkin,28,1.93
341,orestis,dickinson,14,1.92
342,adam,bush,44,1.87
343,jim,becker,10,1.53
344,james,welles,58,1.62
345,kim,geambasu,32,1.56
346,ioannis,cooper,41,1.80
347,john,keromutis,50,1.67
348,adam,hofstadter,25,1.57
349,angus,bach,45,1.95
350,vaggelis,hanks,19,1.68
351,ozzy,malkin,53,1.59
352,rocco,yannakakis,14,1.90
353,sebastian,hellerstein,11,1.77
354,bruce,katz,14,1.57
355,jeff,young,48,1.94
356,daniel,chen,57,1.77
357,barack,young,20,1.81
358,eric,hoare,19,1.69
359,ethan,chen,52,1.51
360,jim,halford,48,1.97
361,simha,obama,37,1.64
362,kenneth,hoare,25,1.82
363,han,bach,11,1.52
364,ioannis,biliris,32,1.72
365,pam,keromutis,11,1.82
366,jeremy,hetfield,56,1.85
367,jim,morrison,38,1.61
368,angelina,sitaridi,46,1.90
369,martha,beethoven,42,1.62
370,ioannis,papadimitriou,27,1.97
371,sebastian,osbourne,27,1.94
372,barack,hanks,36,1.89
373,jim,beethoven,28,1.51
374,angus,katz,34,1.88
375,angelica,bach,32,1.76
376,jeremy,chen,20,1.57
377,daniel,stonebraker,26,1.66
378,kanna,hoare,40,1.58
379,jack,paparas,46,1.97
380,alex,beethoven,43,1.87
381,kanna,paparas,10,1.75
382,pam,beethoven,55,1.74
383,rocco,cooper,53,1.67
384,john,obama,16,1.77
385,ozzy,solo,16,1.98
386,barack,hetfield,23,1.60
387,adam,malkin,30,1.74
388,vaggelis,osbourne,31,1.52
389,adam,paparas,56,1.71
390,dimitris,solo,11,1.90
391,john,obama,41,1.94
392,angelina,bellovin,59,1.88
393,jim,kardashian,27,1.79
394,ozzy,cooper,29,1.80
395,ludwig,katz,21,1.89
396,jim,keromutis,45,1.56
397,jeremy,hanks,17,1.80
398,tom,skywalker,22,1.58
399,adam,yannakakis,40,1.93
400,barack,osbourne,19,1.52
401,luke,stonebraker,37,1.76
402,jack,smith,50,1.70
403,orestis,cohen,30,1.75
404,angelina,hanks,52,1.54
405,daniel,malkin,10,1.73
406,kanna,biliris,11,1.62
407,malcolm,beethoven,37,1.81
408,dimitris,organa,32,1.86
409,sebastian,servedio,18,1.74
410,angelica,skywalker,58,1.72
411,steven,dewitt,10,1.68
412,michael,dewitt,17,1.66
413,angus,osbourne,16,1.82
414,sebastian,yannakakis,34,1.57
415,ling,spielberg,16,1.50
416,aaron,hellerstein,19,1.52
417,dhaval,morrison,45,1.92
418,alex,skywalker,31,1.57
419,angelica,spielberg,47,1.97
420,leonard,bellovin,35,1.94
421,rocco,stonebraker,28,1.81
422,ludwig,organa,26,1.92
423,david,smith,30,1.97
424,jim,skywalker,31,1.53
425,jim,rhoads,54,1.81
426,spock,cooper,54,1.90
427,dhaval,chen,16,1.80
428,kenneth,hofstadter,32,1.56
429,alex,kardashian,52,1.65
430,vaggelis,chen,58,1.82
431,aaron,skywalker,59,1.92
432,simha,young,11,1.95
433,simha,hetfield,32,1.70
434,tal,keromutis,58,1.90
435,anakin,katz,25,1.78
436,aaron,cooper,49,1.62
437,spock,sitaridi,28,1.80
438,michael,hanks,14,1.65
439,kenneth,cohen,52,1.78
440,david,becker,50,1.67
441,vaggelis,spielberg,42,1.87
442,dimitris,spielberg,48,1.53
443,jim,beethoven,47,1.78
444,george,beethoven,44,1.75
445,ozzy,ross,32,1.51
446,ling,stonebraker,40,1.51
447,ashish,gravano,34,1.96
448,angelica,cohen,56,1.63
449,george,hoare,53,1.51
450,ashish,sitaridi,30,1.55
451,joseph,hoare,33,1.81
452,jim,obama,47,1.81
453,tal,spielberg,34,1.83
454,jim,spielberg,55,1.53
455,leonard,cohen,21,1.68
456,ashish,chen,18,1.81
457,kim,biliris,14,1.50
458,kenneth,ross,55,1.99
459,jeff,spielberg,18,1.67
460,bruce,welles,27,1.69
461,jeremy,stonebraker,11,1.92
462,barack,beethoven,32,1.97
463,ioannis,hofstadter,12,1.57
464,john,bellovin,60,1.60
465,luis,bach,40,1.78
466,dimitris,chen,37,1.74
467,eric,bellovin,23,1.86
468,spock,malkin,53,1.55
469,malcolm,hoare,26,1.94
470,dhaval,cooper,42,1.62
471,ashish,welles,58,1.58
472,martha,papadimitriou,37,1.71
473,malcolm,malkin,53,1.56
474,kim,katz,40,1.94
475,leonard,rhoads,17,1.68
476,luke,dewitt,48,1.74
477,hila,rhoads,43,1.53
478,steven,polychroniou,19,1.90
479,vaggelis,cohen,51,1.81
480,hila,ross,28,1.92
481,eric,geambasu,10,1.85
482,tom,hanks,30,1.80
483,alex,smith,49,1.51
484,eric,solo,48,1.76
485,tom,geambasu,31,1.96
486,jim,obama,12,1.54
487,george,servedio,56,1.68
488,barack,young,47,1.88
489,hila,hellerstein,17,1.87
490,xi,paparas,41,1.51
491,kenneth,paparas,17,1.69
492,pam,becker,27,1.70
493,angelina,organa,27,1.88
494,jeremy,solo,39,1.94
495,aaron,spielberg,49,2.00
496,rocco,beethoven,37,2.00
497,angelica,solo,18,1.58
498,jeff,katz,48,1.63
499,dhaval,smith,49,1.70
500,kenneth,cohen,33,1.55
501,tom,gravano,37,1.90
502,rocco,bush,21,1.80
503,malcolm,hetfield,24,2.00
504,anakin,keromutis,34,1.91
505,luke,osbourne,44,1.82
506,jeff,keromutis,30,1.96
507,ludwig,chen,34,1.58
508,kanna,yannakakis,17,1.71
509,jeremy,hanks,49,1.58
510,malcolm,katz,21,2.00
511,sebastian,smith,42,1.75
512,tom,keromutis,40,1.55
513,jim,dewitt,31,1.88
514,pam,dickinson,13,1.65
515,leia,obama,11,1.52
516,sebastian,cooper,23,1.84
517,angelina,solo,10,1.51
518,leia,kardashian,56,1.86
519,tom,cohen,56,1.51
520,kim,spielberg,46,2.00
521,cliff,solo,32,1.81
522,simha,beethoven,27,2.00
523,george,bush,11,1.93
524,kenneth,cooper,17,1.90
525,orestis,dickinson,56,1.57
526,ozzy,cohen,24,1.91
527,rocco,bush,35,1.60
528,barack,halford,51,1.60
529,steven,papadimitriou,25,1.87
530,randy,geambasu,14,1.82
531,tom,hoare,47,1.55
532,jeremy,polychroniou,26,1.68
533,aaron,spielberg,60,1.61
534,ioannis,ross,53,1.64
535,orestis,hanks,52,1.67
536,ling,skywalker,12,1.56
537,martha,yannakakis,14,1.92
538,angelica,stonebraker,26,1.58
539,cliff,obama,31,1.78
540,george,katz,26,1.87
541,michael,cohen,21,1.91
542,dhaval,osbourne,26,1.79
543,kim,malkin,18,1.82
544,barack,organa,50,1.86
545,vaggelis,halford,20,1.95
546,han,servedio,57,1.50
547,jeff,osbourne,58,1.92
548,jeff,bach,54,1.88
549,barack,katz,58,1.54
550,dimitris,beethoven,43,1.63
551,michael,becker,34,1.66
552,angelina,katz,49,1.64
553,spock,morrison,37,1.99
554,david,kardashian,35,1.98
555,adam,chen,60,1.97
556,jack,solo,50,1.93
557,bruce,obama,53,1.87
558,barack,ross,41,1.76
559,barack,papadimitriou,11,1.54
560,hila,katz,29,1.90
561,luke,dickinson,20,1.97
562,kim,dickinson,21,1.59
563,tom,gravano,57,1.60
564,ioannis,dickinson,60,1.86
565,cliff,hanks,35,1.67
566,angelina,hellerstein,50,1.55
567,simha,spielberg,60,1.92
568,daniel,kardashian,12,1.68
569,angus,obama,38,1.87
570,kenneth,hellerstein,49,1.89
571,cliff,beethoven,22,1.85
572,jim,katz,31,1.87
573,orestis,chen,48,1.97
574,david,dewitt,12,1.52
575,barack,servedio,22,1.51
576,leia,beethoven,25,1.89
577,eric,beethoven,50,1.93
578,rocco,hellerstein,54,1.52
579,joseph,biliris,37,1.80
580,michael,keromutis,59,1.99
581,dhaval,bellovin,23,1.60
582,alex,halford,15,1.65
583,rocco,solo,38,1.92
584,tal,hoare,53,1.93
585,aaron,papadimitriou,58,1.56
586,ludwig,obama,29,1.65
587,simha,halford,35,1.96
588,angelina,stonebraker,14,1.98
589,alex,biliris,17,1.68
590,john,young,59,1.87
591,kim,hetfield,44,1.76
592,sheldon,hanks,19,1.76
593,jack,biliris,54,1.56
594,leia,osbourne,42,1.62
595,leia,paparas,60,1.81
596,jim,bush,23,1.54
597,angelina,stonebraker,39,1.70
598,vaggelis,bush,37,1.51
599,eric,bush,49,1.60
600,sheldon,young,34,1.98
601,james,hellerstein,40,1.67
602,alex,solo,21,1.62
603,vaggelis,hellerstein,22,1.86
604,adam,cooper,40,1.75
605,adam,rhoads,48,1.83
606,david,cohen,42,1.65
607,rocco,spielberg,41,1.95
608,han,polychroniou,11,1.79
609,eric,organa,25,1.82
610,bruce,halford,47,1.51
611,kanna,hellerstein,40,1.99
612,dimitris,bellovin,45,1.84
613,kenneth,solo,53,1.72
614,ioannis,paparas,45,1.99
615,tom,hofstadter,31,1.91
616,george,welles,37,1.97
617,michael,stonebraker,24,1.66
618,ashish,cooper,40,1.75
619,jeremy,rhoads,12,1.84
620,xi,dickinson,49,1.87
621,tom,geambasu,17,1.55
622,angus,gravano,15,1.93
623,angelina,servedio,14,1.50
624,joe,osbourne,51,1.81
625,randy,chen,54,1.54
626,barack,smith,27,1.73
627,cliff,dickinson,34,1.69
628,daniel,becker,17,1.87
629,aaron,becker,18,1.64
630,sebastian,hellerstein,52,1.89
631,simha,geambasu,24,1.96
632,tom,beethoven,44,1.79
633,george,papadimitriou,21,1.77
634,michael,chen,49,1.78
635,alex,cohen,39,1.62
636,joseph,yannakakis,51,1.86
637,george,smith,47,1.73
638,ethan,bach,27,1.78
639,ozzy,halford,44,1.55
640,barack,polychroniou,31,1.92
641,joseph,geambasu,38,1.83
642,barack,becker,31,1.67
643,sheldon,rhoads,43,2.00
644,barack,servedio,27,1.98
645,anakin,rhoads,47,1.53
646,kanna,cooper,15,1.54
647,dhaval,obama,36,1.64
648,angus,kardashian,19,1.98
649,ozzy,hofstadter,23,1.61
650,spock,malkin,56,1.58
651,joseph,biliris,17,1.78
652,simha,stonebraker,59,1.75
653,tom,bach,12,1.59
654,dimitris,katz,20,1.58
655,james,beethoven,25,1.60
656,han,hellerstein,59,1.99
657,joe,organa,36,1.87
658,angus,chen,53,1.71
659,steven,kardashian,52,2.00
660,simha,beethoven,54,1.90
661,angelica,smith,18,1.71
662,han,biliris,18,1.68
663,george,solo,10,1.73
664,dhaval,osbourne,31,1.74
665,jim,katz,27,1.71
666,bruce,sitaridi,41,1.84
667,malcolm,smith,47,1.73
668,dimitris,welles,17,1.81
669,bruce,becker,32,1.90
670,han,geambasu,13,1.80
671,joseph,keromutis,54,1.78
672,david,katz,12,1.65
673,kanna,bush,51,1.69
674,jeff,hoare,51,1.96
675,anakin,bush,26,1.77
676,angelica,bush,49,1.98
677,daniel,paparas,47,1.60
678,adam,hoare,11,1.90
679,kenneth,papadimitriou,50,1.70
680,ling,organa,15,1.93
681,randy,young,56,1.70
682,leonard,papadimitriou,58,1.60
683,kim,malkin,47,1.88
684,randy,servedio,12,1.75
685,hila,welles,22,1.89
686,malcolm,young,52,1.88
687,kenneth,geambasu,49,1.81
688,angelica,stonebraker,46,1.94
689,anakin,gravano,57,1.55
690,george,solo,20,1.94
691,adam,geambasu,57,1.97
692,han,becker,19,1.99
693,angelina,dickinson,14,1.96
694,joseph,servedio,20,1.96
695,joe,hellerstein,41,1.73
696,cliff,yannakakis,42,1.66
697,jim,kardashian,16,1.78
698,james,osbourne,50,1.66
699,kim,welles,24,1.60
700,luke,hoare,22,1.98
701,jeremy,sitaridi,45,1.67
702,jim,osbourne,51,1.69
703,david,rhoads,47,1.71
704,dimitris,rhoads,22,1.68
705,martha,young,55,1.93
706,leia,obama,52,1.58
707,angelica,papadimitriou,12,1.55
708,dhaval,dickinson,57,1.65
709,simha,dickinson,56,1.55
710,tal,chen,41,1.60
711,david,halford,33,1.92
712,george,young,10,1.59
713,malcolm,stonebraker,56,1.69
714,hila,organa,41,1.61
715,angus,hanks,31,1.84
716,ludwig,malkin,24,1.67
717,simha,young,31,1.84
718,joseph,bush,46,1.76
719,anakin,paparas,27,1.59
720,adam,chen,40,1.92
721,spock,solo,15,1.75
722,jack,ross,15,1.61
723,james,obama,30,1.76
724,kim,dickinson,55,1.58
725,dhaval,bush,45,1.90
726,steven,osbourne,20,1.71
727,ioannis,organa,43,1.51
728,jeremy,welles,27,1.63
729,sheldon,papadimitriou,48,1.72
730,jack,smith,60,1.67
731,adam,chen,27,1.94
732,leonard,bach,60,1.61
733,anakin,solo,14,1.84
734,daniel,hanks,59,1.89
735,ethan,hanks,41,1.82
736,sheldon,bush,17,1.72
737,malcolm,yannakakis,13,1.69
738,barack,chen,37,1.77
739,dhaval,hofstadter,48,1.95
740,eric,dewitt,51,1.61
741,tal,yannakakis,32,1.69
742,kim,osbourne,17,1.96
743,john,osbourne,11,1.62
744,kanna,katz,10,1.58
745,kenneth,hoare,12,1.79
746,barack,biliris,25,1.54
747,ethan,geambasu,58,1.77
748,pam,keromutis,19,1.88
749,james,dickinson,41,1.55
750,angelina,ross,18,1.88
751,jeremy,rhoads,31,1.84
752,kenneth,rhoads,19,1.97
753,cliff,geambasu,14,1.86
754,sheldon,geambasu,41,1.94
755,eric,spielberg,51,1.78
756,luis,geambasu,50,1.74
757,martha,cooper,45,1.71
758,jeff,stonebraker,15,1.93
759,eric,hofstadter,24,1.77
760,randy,stonebraker,20,1.98
761,sheldon,gravano,11,1.64
762,xi,hellerstein,45,1.82
763,tal,hanks,19,2.00
764,steven,spielberg,57,1.99
765,ludwig,cohen,15,1.81
766,leia,hanks,19,1.61
767,angelica,bellovin,52,1.73
768,john,solo,16,1.51
769,joseph,polychroniou,35,1.82
770,angus,biliris,33,1.84
771,eric,obama,59,1.82
772,jim,bush,42,1.95
773,cliff,stonebraker,10,1.61
774,eric,bach,33,1.59
775,joe,chen,27,1.64
776,kenneth,stonebraker,14,1.98
777,pam,sitaridi,36,1.54
778,vaggelis,hetfield,26,1.99
779,daniel,becker,10,1.64
780,kim,yannakakis,41,1.82
781,angelina,hofstadter,42,1.81
782,joe,stonebraker,58,1.54
783,sheldon,gravano,32,1.89
784,tom,kardashian,22,1.51
785,dimitris,paparas,43,1.88
786,xi,welles,48,1.73
787,sebastian,beethoven,32,1.89
788,xi,rhoads,38,1.52
789,eric,welles,11,1.84
790,ashish,cohen,53,1.73
791,angelica,bach,49,1.65
792,xi,kardashian,21,1.75
793,dhaval,geambasu,22,1.68
794,luke,hetfield,47,1.50
795,angelica,hofstadter,31,1.58
796,john,hanks,30,1.73
797,vaggelis,bellovin,51,1.71
798,dhaval,biliris,60,1.83
799,jack,sitaridi,11,1.62
800,ioannis,stonebraker,42,1.87
801,ioannis,spielberg,32,1.69
802,malcolm,hellerstein,32,1.83
803,dhaval,malkin,24,1.67
804,tom,osbourne,54,1.84
805,ethan,paparas,24,1.58
806,leonard,becker,11,1.88
807,rocco,chen,60,1.77
808,luke,polychroniou,21,1.81
809,kenneth,yannakakis,49,1.57
810,george,paparas,34,1.85
811,hila,hanks,41,1.89
812,orestis,paparas,45,2.00
813,joe,beethoven,32,1.99
814,daniel,hellerstein,20,1.73
815,martha,smith,58,1.59
816,james,kardashian,14,1.58
817,luis,papadimitriou,41,1.67
818,john,katz,46,1.55
819,angelina,dickinson,27,1.66
820,james,osbourne,24,1.52
821,randy,sitaridi,29,1.87
822,luke,sitaridi,31,1.79
823,jeff,stonebraker,55,1.68
824,sebastian,kardashian,25,1.73
825,barack,biliris,56,1.96
826,pam,osbourne,54,1.55
827,jim,bach,16,1.85
828,luke,sitaridi,17,1.95
829,barack,malkin,32,1.77
830,bruce,bach,57,1.94
831,joseph,obama,55,1.91
832,tal,osbourne,12,1.84
833,angelica,organa,55,1.72
834,eric,becker,30,1.62
835,jeremy,dewitt,44,1.50
836,spock,solo,55,1.92
837,malcolm,rhoads,49,1.91
838,john,biliris,50,1.85
839,steven,bush,41,1.58
840,leonard,halford,25,1.57
841,jeremy,obama,59,1.84
842,spock,hellerstein,13,1.93
843,han,gravano,35,1.88
844,barack,malkin,22,1.69
845,john,katz,53,1.51
846,michael,chen,47,1.83
847,steven,spielberg,59,1.92
848,barack,bush,37,1.63
849,adam,hanks,17,1.75
850,ludwig,papadimitriou,44,1.60
851,luke,servedio,57,1.58
852,alex,hofstadter,56,1.59
853,ethan,beethoven,38,1.89
854,cliff,geambasu,15,1.64
855,malcolm,yannakakis,27,1.78
856,pam,welles,39,1.94
857,ozzy,keromutis,14,1.60
858,ling,organa,54,1.89
859,dhaval,biliris,54,1.91
860,xi,paparas,44,1.63
861,george,bush,13,1.61
862,ozzy,gravano,17,1.59
863,martha,beethoven,16,1.99
864,aaron,stonebraker,50,1.59
865,james,yannakakis,54,1.69
866,ashish,solo,42,1.62
867,leonard,chen,10,2.00
868,joseph,katz,44,1.84
869,ethan,welles,46,1.87
870,jeremy,kardashian,31,1.93
871,david,young,44,1.51
872,orestis,cooper,52,1.99
873,aaron,stonebraker,30,1.59
874,kenneth,polychroniou,10,1.76
875,xi,yannakakis,32,1.51
876,vaggelis,smith,12,1.80
877,ashish,gravano,56,1.88
878,angelina,keromutis,53,1.92
879,alex,becker,36,1.51
880,han,skywalker,43,1.92
